City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
673,uruzgan,AF,32.8333,66.0,29.12,14,0,4.59,clear sky
674,junction city,US,39.0286,-96.8314,27.39,80,0,3.44,clear sky
675,aljezur,PT,37.3191,-8.8033,50.25,71,53,2.75,broken clouds
676,san felipe,VE,10.3399,-68.7425,70.36,94,99,2.1,overcast clouds
677,peniche,PT,39.3558,-9.3811,51.57,94,98,8.34,overcast clouds
678,balkanabat,TM,39.5108,54.3671,31.35,28,0,21.23,clear sky
679,virginia beach,US,36.8529,-75.978,43.02,68,100,14.97,overcast clouds
680,arauco,CL,-37.2463,-73.3175,51.76,89,11,8.84,few clouds
681,george,ZA,-33.963,22.4617,69.35,78,40,4.61,scattered clouds
682,sabi,GM,13.2333,-14.2,71.31,19,87,5.26,overcast clouds
683,ramshir,IR,30.8946,49.4092,62.46,46,100,8.84,overcast clouds
684,nzerekore,GN,7.7562,-8.8179,65.5,38,79,2.17,broken clouds
685,ranong,TH,9.9658,98.6348,89.53,63,48,8.08,scattered clouds
686,kabelvag,NO,68.2114,14.4817,33.82,69,100,19.13,light snow
687,grenville,GD,12.1167,-61.6167,75.25,80,16,12.06,few clouds
688,lambarene,GA,-0.7001,10.2406,78.82,89,100,2.98,overcast clouds
689,pyay,MM,18.8167,95.2167,90.16,15,0,3.38,clear sky
690,muscat,OM,23.6139,58.5922,68.61,45,0,6.55,clear sky
691,evensk,RU,61.95,159.2333,9.41,72,100,16.33,overcast clouds
692,price,US,39.5994,-110.8107,25.12,81,100,3.0,overcast clouds
693,charleston,US,32.7766,-79.9309,43.29,83,100,12.66,overcast clouds
694,mehran,IR,33.1222,46.1646,57.79,60,93,6.49,overcast clouds
695,burns lake,CA,54.2331,-125.7533,31.42,98,100,2.55,overcast clouds
696,amberley,US,39.2048,-84.428,30.54,74,19,7.0,few clouds
697,mackay,AU,-21.15,149.2,72.68,91,100,20.49,light rain
698,muriwai beach,NZ,-36.8167,174.45,68.43,88,25,3.04,scattered clouds
699,roberval,CA,48.5168,-72.2324,15.75,72,40,13.8,scattered clouds
700,diplo,PK,24.4667,69.584,73.51,9,0,7.11,clear sky
